claim,source_url,source_domain,article_title,risk_score,risk_category,has_factcheck,factcheck_rating,factcheck_source,checked_at
SBB: Bahnen so pünktlich wie nie – in der Schweiz $swiper,https://www.spiegel.de/auto/db-vs-sbb-bahnen-so-puenktlich-wie-nie-in-der-schweiz-a-76ebd374-5dfa-4429-9a8a-82991533e37c#ref=rss,www.spiegel.de,DB vs. SBB: Bahnen so pünktlich wie nie – in der Schweiz - DER SPIEGEL,0.1,LOW,False,,,2026-01-27T16:26:13.262678
"outside=""close()"" :class=""{'lg:w-4/12': isOpen,'md:w-5/12': isOpen,}""> Suche starten Suche öffnen EILMELDUNG — __proto_headline__ EILMELDUNG — __proto_headline__ Trotz Baustellen Die Bahn war 2025 so pünktlich wie nie",https://www.spiegel.de/auto/db-vs-sbb-bahnen-so-puenktlich-wie-nie-in-der-schweiz-a-76ebd374-5dfa-4429-9a8a-82991533e37c#ref=rss,www.spiegel.de,DB vs. SBB: Bahnen so pünktlich wie nie – in der Schweiz - DER SPIEGEL,0.1,LOW,False,,,2026-01-27T16:26:13.492908
In der Schweiz Es ist ein Rekord: Rund 94 Prozent der Personenzüge im Schweizer Schienennetz erreichten 2025 planmäßig ihr Ziel,https://www.spiegel.de/auto/db-vs-sbb-bahnen-so-puenktlich-wie-nie-in-der-schweiz-a-76ebd374-5dfa-4429-9a8a-82991533e37c#ref=rss,www.spiegel.de,DB vs. SBB: Bahnen so pünktlich wie nie – in der Schweiz - DER SPIEGEL,0,LOW,False,,,2026-01-27T16:26:13.721714
"Nach Angaben der Behörden beziffern die Behörden allein für Sizilien den Schaden auf 1,5 Milliarden Euro",https://www.spiegel.de/panorama/sizilien-1500-menschen-wegen-erdrutsch-evakuiert-a-220d0bae-85c5-4c4a-a368-b186b9a8f475#ref=rss,www.spiegel.de,Sizilien: 1500 Menschen wegen Erdrutschs evakuiert - DER SPIEGEL,0.1,LOW,False,,,2026-01-27T16:26:15.419703
"Der Vorwurf: Die Einwanderungsbehörde ICE habe inhaftierten Einwanderern keine Anhörungen zur Festsetzung der Kaution gewährt, obwohl Richter in Minneapolis diese angeordnet hatten",https://www.spiegel.de/ausland/minnesota-us-bezirksrichter-laedt-ice-behoerdenchef-vor-a-511c96b2-7d9c-4242-a820-35f8f4db2f54#ref=rss,www.spiegel.de,Minnesota: US-Bezirksrichter lädt ICE-Behördenchef vor - DER SPIEGEL,0.1,LOW,False,,,2026-01-27T16:26:16.697714
"Zum Login SPIEGEL plus Nur für Neukunden € 1,– für 4 Wochen danach € 5,99 pro Woche Freier Zugriff auf alle S+-Artikel auf SPIEGEL",https://www.spiegel.de/ausland/holocaust-wie-ein-inder-juden-aus-wien-rettete-a-e26cae1e-9dbe-4dc1-945e-d9e3be6084af#ref=rss,www.spiegel.de,Holocaust: Wie ein Inder Juden aus Wien rettete - DER SPIEGEL,0.1,LOW,False,,,2026-01-27T16:26:17.791134
"E-Paper (PDF), Digital-Archiv und S+-Newsletter Jederzeit kündigen Jetzt abonnieren SPIEGEL plus 52 Wochen 25 % sparen € 4,49 pro Woche für 52 Wochen danach € 5,99 pro Woche Freier Zugriff auf alle S+-Artikel auf SPIEGEL",https://www.spiegel.de/ausland/holocaust-wie-ein-inder-juden-aus-wien-rettete-a-e26cae1e-9dbe-4dc1-945e-d9e3be6084af#ref=rss,www.spiegel.de,Holocaust: Wie ein Inder Juden aus Wien rettete - DER SPIEGEL,0.1,LOW,False,,,2026-01-27T16:26:18.010334
Mehr zum Thema Oscarnominierungen 2026: Die Vampire kommen Eine Analyse von Lars-Olav Beier Actionthriller »One Battle After Another«: Mit diesen Kerlen wird keine Revolution zu machen sein Von Andreas Borcholte Oscarfavorit und K,https://www.spiegel.de/kultur/kino/britische-filmpreise-one-battle-after-another-dominiert-bafta-nominierungen-a-c76bde87-0282-4318-ae14-97019429e1dc#ref=rss,www.spiegel.de,Baftas 2026: »One Battle After Another« dominiert Nominierungen für britischen Filmpreis - DER SPIEG,0.1,LOW,False,,,2026-01-27T16:26:19.250981
"Zum Login SPIEGEL plus Nur für Neukunden € 1,– für 4 Wochen danach € 5,99 pro Woche Freier Zugriff auf alle S+-Artikel auf SPIEGEL",https://www.spiegel.de/kultur/tv/dschungelcamp-2026-tag-4-willkommen-zur-einfuehrung-in-die-trashologie-a-588022ab-fed3-47bd-a548-b2af8597b7d4#ref=rss,www.spiegel.de,"Dschungelcamp 2026, Tag 4: Willkommen zur Einführung in die Trashologie - DER SPIEGEL",0.1,LOW,False,,,2026-01-27T16:26:20.370330
"E-Paper (PDF), Digital-Archiv und S+-Newsletter Jederzeit kündigen Jetzt abonnieren SPIEGEL plus 52 Wochen 25 % sparen € 4,49 pro Woche für 52 Wochen danach € 5,99 pro Woche Freier Zugriff auf alle S+-Artikel auf SPIEGEL",https://www.spiegel.de/kultur/tv/dschungelcamp-2026-tag-4-willkommen-zur-einfuehrung-in-die-trashologie-a-588022ab-fed3-47bd-a548-b2af8597b7d4#ref=rss,www.spiegel.de,"Dschungelcamp 2026, Tag 4: Willkommen zur Einführung in die Trashologie - DER SPIEGEL",0.1,LOW,False,,,2026-01-27T16:26:20.588227
